"id";"developer";"name";"platform";"publisher";"release_date";"score"
1;"Mediatonic, Hato Moa";"Hatoful Boyfriend: Holiday Star";"ps4";"Devolver Digital";"2015-12-22";""
2;"Zachtronics Industries";"Infinifactory";"ps4";"Zachtronics Industries";"2015-12-22";""
3;"SCEJ";"Fantavision";"ps4";"SCEA";"2015-12-22";""
4;"Frozenbyte, Inc.";"Trine 3: The Artifacts of Power";"ps4";"Frozenbyte, Inc.";"2015-12-22";""
5;"Alawar Entertainment, Inc";"The Treasures of Montezuma 4";"ps4";"Buka Entertainment";"2015-12-22";""
6;"";"Batman: Arkham Knight - Season of Infamy: Most Wanted";"ps4";"";"2015-12-22";"tbd"
7;"";"Minecraft: Story Mode - Episode 4: A Block and a Hard Place";"ps4";"";"2015-12-22";"tbd"
8;"";"Batman: Arkham Knight - Crime Fighter Challenge Pack 5";"ps4";"";"2015-12-22";"tbd"
9;"The Odd Gentlemen";"King's Quest Chapter 2: Rubble Without a Cause";"ps4";"Sierra Games";"2015-12-15";"67"
10;"NanaOn-Sha";"PaRappa the Rapper 2";"ps4";"SCEA";"2015-12-15";""
11;"Targem Games";"BlazeRush";"ps4";"Targem Games";"2015-12-15";""
12;"Ubisoft Quebec";"Assassin's Creed Syndicate: Jack the Ripper";"ps4";"Ubisoft";"2015-12-15";"73"
13;"";"Guns, Gore & Cannoli";"ps4";"";"2015-12-08";"tbd"
14;"Sandlot";"Earth Defense Force 4.1: The Shadow of New Despair";"ps4";"Xseed Games";"2015-12-08";"60"
15;"Krillbite Studio";"Among the Sleep";"ps4";"Krillbite Studio";"2015-12-08";"61"
16;"Digital Leisure Inc.";"The Four Kings Casino and Slots";"ps4";"Digital Leisure Inc.";"2015-12-08";""
17;"ZeroBit Games";"Zotrix";"ps4";"Ocean Media LLC";"2015-12-08";""
18;"Vlambeer";"Nuclear Throne";"ps4";"Vlambeer";"2015-12-05";"81"
19;"Valkyrie Entertainment";"GUNS UP!";"ps4";"SCEA";"2015-12-05";"60"
20;"SCE Santa Monica, Fun Bits";"Fat Princess Adventures";"ps4";"SCEA
                                                            
                                                    

                                                            
                                                        SCE Santa Monica";"2015-12-05";"67"
21;"Square Enix";"Final Fantasy VII";"ps4";"Square Enix";"2015-12-05";""
22;"Level 5";"Dark Cloud";"ps4";"SCEA";"2015-12-05";""
23;"DMA Design, Rockstar North";"Grand Theft Auto III";"ps4";"SCEA
                                                            
                                                    

                                                            
                                                        Rockstar Games";"2015-12-05";""
24;"Rockstar North";"Grand Theft Auto: Vice City";"ps4";"SCEA";"2015-12-05";""
25;"Rockstar North";"Grand Theft Auto: San Andreas";"ps4";"SCEA
                                                            
                                                    

                                                            
                                                        Rockstar Games";"2015-12-05";""
26;"Level 5";"Rogue Galaxy";"ps4";"SCEA";"2015-12-05";""
27;"SCEA";"The Mark of Kri";"ps4";"SCEA";"2015-12-05";""
28;"Incognito Inc.";"Twisted Metal: Black";"ps4";"SCEA";"2015-12-05";""
29;"Incognito Inc.";"War of the Monsters";"ps4";"SCEA";"2015-12-05";""
30;"Choice Provisions";"THE BIT.TRIP";"ps4";"Choice Provisions";"2015-12-05";"86"
31;"Wargaming.net";"World of Tanks";"ps4";"Wargaming.net";"2015-12-04";""
32;"Farsight Technologies, Crave, Alliance Digital Media";"Brunswick Pro Bowling";"ps4";"Farsight Technologies
                                                            
                                                    

                                                            
                                                        C";"2015-12-04";""
33;"Ronimo Games";"Awesomenauts Assemble!: Starstorm";"ps4";"Ronimo Games";"2015-12-03";""
34;"Ronimo Games";"Awesomenauts Assemble! Digital Collector's Edition";"ps4";"Ronimo Games";"2015-12-03";""
